

lambda(nm), Y
339.751, 0.85475
339.367, 0.855777
338.983, 0.856781
338.6, 0.857763
338.219, 0.858724
337.838, 0.859666
337.458, 0.860585
337.079, 0.86148
336.7, 0.862346
336.323, 0.86318
335.946, 0.863977
335.57, 0.864732
335.196, 0.865442
334.821, 0.866103
334.448, 0.866715
334.076, 0.867276
333.704, 0.867788
333.333, 0.868252
332.963, 0.868672
332.594, 0.869054
332.226, 0.869402
331.858, 0.869722
331.492, 0.870021
331.126, 0.870303
330.761, 0.870575
330.396, 0.87084
330.033, 0.8711
329.67, 0.871357
329.308, 0.871609
328.947, 0.871856
328.587, 0.872093
328.228, 0.872315
327.869, 0.872518
327.511, 0.872695
327.154, 0.87284
326.797, 0.872945
326.442, 0.873008
326.087, 0.873021
325.733, 0.872983
325.38, 0.872891
325.027, 0.872745
324.675, 0.872545
324.324, 0.872295
323.974, 0.871997
323.625, 0.871656
323.276, 0.871275
322.928, 0.870861
322.581, 0.870416
322.234, 0.869946
321.888, 0.869452
321.543, 0.868936
321.199, 0.868399
320.856, 0.867839
320.513, 0.867255
320.171, 0.866641
319.829, 0.865994
319.489, 0.865308
319.149, 0.864579
318.81, 0.863799
318.471, 0.862965
318.134, 0.862071
317.797, 0.861114
317.46, 0.860092
317.125, 0.859004
316.79, 0.85785
316.456, 0.856631
316.122, 0.85535
315.789, 0.85401
315.457, 0.852614
315.126, 0.851166
314.795, 0.849669
314.465, 0.848126
314.136, 0.84654
313.808, 0.844909
313.48, 0.843234
313.152, 0.841513
312.826, 0.839742
312.5, 0.837917
312.175, 0.836032
311.85, 0.83408
311.526, 0.832056
311.203, 0.829953
310.881, 0.827764
310.559, 0.825486
310.238, 0.823115
309.917, 0.820647
309.598, 0.818082
309.278, 0.81542
308.96, 0.812666
308.642, 0.809821
308.325, 0.806891
308.008, 0.803883
307.692, 0.800803
307.377, 0.797656
307.062, 0.794451
306.748, 0.791192
306.435, 0.787884
306.122, 0.784532
305.81, 0.781137
305.499, 0.777701
305.188, 0.774225
304.878, 0.770706
304.569, 0.767144
304.26, 0.763536
303.951, 0.759881
303.644, 0.756176
303.337, 0.752421
303.03, 0.748616
302.725, 0.744763
302.419, 0.740865
302.115, 0.736928
301.811, 0.732957
301.508, 0.728962
301.205, 0.724953
300.903, 0.72094
300.601, 0.716936
300.3, 0.712952
300, 0.709001



